ROI,p_value
Left-Hippocampus,7.457253531812322e-07
Left-Inf-Lat-Vent,2.740813731612654e-06
Right-Hippocampus,4.183378257325114e-05
Left-Amygdala,0.00012616778827508418
Left-Lateral-Ventricle,0.00022033397767956872
Left_choroid_volume,0.0003640574293980654
Right_choroid_volume,0.0020740519292472355
Right-Inf-Lat-Vent,0.002429163168680369
ctx-rh-entorhinal,0.002699807861434289
hpcr_wm_right,0.002992046970882047
ctx-rh-fusiform,0.002996341492671088
ctx-rh-inferiortemporal,0.0033962934053903882
ctx-lh-superiortemporal,0.0036794220095159877
ctx-rh-superiortemporal,0.0038270671676436077
hpcr_wm_left,0.004460461390444448
Right-Lateral-Ventricle,0.005082114092945147
CSF,0.00630539077330252
ctx-rh-parahippocampal,0.008707445420545499
ctx-lh-middletemporal,0.009001890879033192
ctx-lh-medialorbitofrontal,0.012276537334275571
3rd-Ventricle,0.012972885450504044
ctx-lh-posteriorcingulate,0.021322001941462464
ctx-lh-entorhinal,0.0219447519883037
WM-hypointensities,0.02545818979763171
ctx-rh-parstriangularis,0.027085344454172683
ctx-rh-caudalmiddlefrontal,0.032467759233823015
ctx-rh-precuneus,0.03462855485660859
ctx-lh-fusiform,0.037380261012402
ctx-lh-parahippocampal,0.045854802391181865
ctx-rh-middletemporal,0.04705167577651194
Left-Accumbens-area,0.05354373985588184
ctx-lh-inferiortemporal,0.06630467516814549
ctx-rh-parsorbitalis,0.08308822639391782
ctx-rh-inferiorparietal,0.09990707732226674
ctx-lh-precuneus,0.10085764946531355
Right-Thalamus,0.10219574940400124
ctx-rh-lateraloccipital,0.10494287067863756
Left-Thalamus,0.10641362246448305
ctx-lh-caudalmiddlefrontal,0.11155053102963983
ctx-lh-parstriangularis,0.11271869790380898
ctx-lh-lateralorbitofrontal,0.1128970293597197
ctx-lh-supramarginal,0.11843703248301898
Right-VentralDC,0.13526885116918017
ctx-lh-lateraloccipital,0.15245686073979428
ctx-rh-cuneus,0.16210953776369147
ctx-lh-rostralanteriorcingulate,0.16235159810436275
Right-Caudate,0.16812958829808303
Left-Caudate,0.18488080594902206
ctx-rh-transversetemporal,0.19882585884606274
ctx-lh-parsopercularis,0.20751250646660663
ctx-rh-medialorbitofrontal,0.22296885009146972
ctx-rh-caudalanteriorcingulate,0.22753180241205503
ctx-rh-pericalcarine,0.23128320079709613
Right-Accumbens-area,0.24309154556102575
ctx-lh-inferiorparietal,0.2666033053681814
ctx-lh-rostralmiddlefrontal,0.2868342220140713
ctx-rh-supramarginal,0.29108758399245865
ctx-rh-lingual,0.29663850799293856
Right-choroid-plexus,0.29941515124966034
ctx-rh-posteriorcingulate,0.3273499230694734
Left-VentralDC,0.35244212732455515
Left-choroid-plexus,0.36314334606588283
ctx-lh-lingual,0.378240311427819
ctx-lh-precentral,0.3812653015478261
ctx-lh-pericalcarine,0.42679387585527306
Left-Cerebral-White-Matter,0.42900121935444724
ctx-lh-insula,0.4445454657391167
ctx-rh-paracentral,0.4746751198273744
ctx-lh-transversetemporal,0.4772873733613058
Brain-Stem,0.5030126094976999
ctx-lh-superiorparietal,0.5109117521457642
ctx-lh-parsorbitalis,0.5156852854365812
ctx-rh-superiorfrontal,0.521869706022438
ctx-rh-rostralanteriorcingulate,0.5805604733998936
4th-Ventricle,0.594599981518698
ctx-lh-superiorfrontal,0.6118437446683692
Left-Cerebellum-Cortex,0.6528724291912393
ctx-rh-insula,0.7012558904104584
ctx-rh-rostralmiddlefrontal,0.7084531921901043
ctx-lh-isthmuscingulate,0.7645076815275351
Left-Putamen,0.7683313803080044
ctx-rh-parsopercularis,0.7748562537381553
ctx-lh-cuneus,0.7935209269507049
ctx-rh-postcentral,0.8030081327424745
ctx-lh-caudalanteriorcingulate,0.8033223345218498
ctx-rh-isthmuscingulate,0.8120840781198948
ctx-lh-paracentral,0.8472212383822975
Right-Putamen,0.8639094348834981
Left-Cerebellum-White-Matter,0.9476938354107542
ctx-lh-postcentral,0.9981230795089713
Left-Pallidum,0.998305252551609
