Modelo,Categoria,AUC_ROC_Teste,Sensibilidade (Recall),Especificidade,VPP (Precisão),VPN,F1-Score
SVM_Kernel_Vencedor,Não-Linear (Kernel/Rede),0.8822624743677375,1.0,0.32894736842105265,0.6015625,1.0,0.751219512195122
Random_Forest,Ensemble / Instância,0.8491968557758032,0.7012987012987013,0.7763157894736842,0.7605633802816901,0.7195121951219512,0.7297297297297297
GBM,Ensemble / Instância,0.83526999316473,0.7662337662337663,0.75,0.7564102564102564,0.76,0.7612903225806451
XGBoost,Ensemble / Instância,0.8120300751879699,0.7272727272727273,0.75,0.7466666666666667,0.7307692307692307,0.7368421052631579
KNN,Ensemble / Instância,0.7527341079972658,0.5974025974025974,0.7631578947368421,0.71875,0.651685393258427,0.6524822695035462
AdaBoost,Ensemble / Instância,0.7129186602870813,0.6363636363636364,0.6578947368421053,0.6533333333333333,0.6410256410256411,0.6447368421052632
Regressao_Logistica,Linear,0.679084073820916,0.6493506493506493,0.5657894736842105,0.6024096385542169,0.6142857142857143,0.625
SVM_Linear,Linear,0.6753246753246753,0.6623376623376623,0.5526315789473685,0.6,0.6176470588235294,0.6296296296296297
LDA,Linear,0.6712235133287764,0.6363636363636364,0.5526315789473685,0.5903614457831325,0.6,0.6125
Naive_Bayes,Linear,0.6363636363636365,0.5584415584415584,0.618421052631579,0.5972222222222222,0.5802469135802469,0.5771812080536913
Rede_Neural_MLP,Não-Linear (Kernel/Rede),0.6163704716336293,0.6103896103896104,0.6578947368421053,0.6438356164383562,0.625,0.6266666666666667
Arvore_Decisao,Ensemble / Instância,0.6079972658920026,0.5974025974025974,0.5921052631578947,0.5974025974025974,0.5921052631578947,0.5974025974025974
